Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity ,Valuation Offered (In Lakhs INR),Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal
19,61,Magic lock,LPG Cylinder lock,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
20,62,The State Plate,Delicacies,40,25,0.03,1333.33,Out,Out,Out,Out,In,Out,Out
20,63,Bakarmax,Comics & Animation,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
20,64,IN A CAN,Can Cocktails,10,0,0.10,100.00,In,In,In,In,In,Out,Out
21,65,Get a Whey,Sugar-Free Icecream,10,0,0.15,66.67,Out,In,Out,In,Out,In,Out
21,66,Sid07 Designs,Inventions,25,22,0.75,33.33,Out,Out,Out,Out,In,Out,Out
21,67,The Quirky Nari,Customised Apparels,35,0,0.24,145.83,In,Out,Out,Out,Out,In,Out
22,68,Hair Originals,Natural Hair Extensions,60,0,0.04,1500.00,In,In,Out,Out,In,Out,Out
22,69,Poo de Cologne,Toilet Spray with Essential Oils,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
22,70,Moonshine Meads,Meads,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
22,71,Falhari,Fresh Fruits,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
23,72,Namhya Foods,Ayurvedic Enriched Food,50,50,0.10,500.00,Out,Out,Out,In,Out,Out,Out
23,73,Urban Monkey,Streetwear,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
23,74,Guardian Gears,Motorcycle Luggage,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
23,75,Modern Myth,Bags,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
24,76,The Sass Bar,Gifts,50,0,0.35,142.86,In,Out,Out,Out,Out,Out,In
24,77,KG Agrotech,Agricultural Innovations,10,20,0.40,25.00,Out,Out,Out,Out,In,Out,Out
24,78,Nuskha Kitchen,Homemade Foods,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
25,79,PawsIndia,Dog Products,50,0,0.15,333.33,In,Out,Out,Out,Out,Out,Out
25,80,Sunfox Technologies,Portable ECG Device,10,0,0.06,166.67,In,Out,In,Out,In,In,In
25,81,Alpino,Roasted Peanut Products,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
26,82,Isak Fragrances,Perfumes,50,0,0.50,100.00,Out,Out,Out,Out,In,Out,Out
26,83,Julaa Automation,Automatic Cradle,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
26,84,Rare Planet,Handicrafts,65,0,0.30,216.67,Out,Out,In,Out,Out,Out,Out
27,85,Theka Coffee,Coffee Products,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
27,86,Watt Technovations,Ventilated PPE Kits,10,0,0.04,250.00,In,Out,In,Out,In,Out,In
27,87,Aliste Technologies,Automation Solutions,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
27,88,Insurance Samadhan,Insurance Solutions,10,0,0.04,250.00,Out,Out,Out,Out,In,Out,Out
28,89,Humpy A2,Organic Milk Products,10,0,0.15,66.67,Out,Out,Out,Out,In,In,In
28,90,Kunafa World,Kunafa,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
28,91,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,50,0,0.30,166.67,Out,Out,Out,Out,In,In,In
29,92,Wakao Foods,Jackfruit Products,75,0,0.21,357.14,Out,Out,In,Out,Out,In,In
29,93,PDD Falcon,Stainless Steel Items,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
29,94,PlayBox TV,Streaming Platform,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
30,95,Sippline Drinking Shields,Portable Glass Attachment,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
30,96,Kabaddi Adda,All-Kabaddi App,80,0,0.06,1333.33,Out,Out,In,Out,Out,In,Out
30,97,Shades of Spring,Flowers,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
